system:index,elevation,latitude,longitude,.geo
0,18,16.47123873,80.67537079,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67537079241674,16.471238734300748]}"
1,17,16.47123873,80.67564029,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67564028700195,16.471238734300748]}"
2,19,16.47123873,80.67590978,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67590978158722,16.471238734300748]}"
3,18,16.47123873,80.67617928,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67617927617243,16.471238734300748]}"
4,20,16.47123873,80.67644877,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.6764487707577,16.471238734300748]}"
5,18,16.47123873,80.67671827,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67671826534291,16.471238734300748]}"
6,17,16.47123873,80.67698776,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67698775992812,16.471238734300748]}"
7,16,16.47123873,80.67725725,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67725725451339,16.471238734300748]}"
8,17,16.47123873,80.67752675,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.6775267490986,16.471238734300748]}"
9,16,16.47123873,80.67779624,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67779624368387,16.471238734300748]}"
10,15,16.47123873,80.67806574,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67806573826908,16.471238734300748]}"
11,16,16.47123873,80.67833523,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67833523285435,16.471238734300748]}"
12,17,16.47123873,80.67860473,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67860472743956,16.471238734300748]}"
13,16,16.47123873,80.67887422,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67887422202477,16.471238734300748]}"
14,18,16.47123873,80.67914372,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67914371661004,16.471238734300748]}"
15,17,16.47123873,80.67941321,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67941321119525,16.471238734300748]}"
16,15,16.47123873,80.67968271,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67968270578052,16.471238734300748]}"
17,16,16.47123873,80.6799522,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67995220036573,16.471238734300748]}"
18,15,16.47123873,80.68022169,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.680221694951,16.471238734300748]}"
19,17,16.47123873,80.68049119,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68049118953621,16.471238734300748]}"
20,16,16.47123873,80.68076068,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68076068412148,16.471238734300748]}"
21,18,16.47123873,80.68103018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68103017870669,16.471238734300748]}"
22,17,16.47123873,80.68129967,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.6812996732919,16.471238734300748]}"
23,16,16.47123873,80.68156917,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68156916787717,16.471238734300748]}"
24,14,16.47123873,80.68183866,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68183866246238,16.471238734300748]}"
25,15,16.47123873,80.68210816,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68210815704765,16.471238734300748]}"
26,16,16.47123873,80.68237765,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68237765163286,16.471238734300748]}"
27,15,16.47123873,80.68264715,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68264714621813,16.471238734300748]}"
28,16,16.47123873,80.68291664,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68291664080334,16.471238734300748]}"
29,17,16.47123873,80.68318614,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68318613538855,16.471238734300748]}"
30,16,16.47123873,80.68345563,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68345562997382,16.471238734300748]}"
31,15,16.47123873,80.68372512,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68372512455903,16.471238734300748]}"
32,17,16.47123873,80.68399462,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.6839946191443,16.471238734300748]}"
33,16,16.47123873,80.68426411,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68426411372951,16.471238734300748]}"
34,17,16.47123873,80.68453361,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68453360831478,16.471238734300748]}"
35,16,16.47123873,80.6848031,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68480310289999,16.471238734300748]}"
36,17,16.47123873,80.6850726,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.6850725974852,16.471238734300748]}"
37,16,16.47123873,80.68534209,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68534209207047,16.471238734300748]}"
38,15,16.47123873,80.68561159,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68561158665568,16.471238734300748]}"
39,14,16.47123873,80.68588108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68588108124095,16.471238734300748]}"
40,17,16.47123873,80.68615058,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68615057582616,16.471238734300748]}"
41,16,16.47123873,80.68642007,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68642007041143,16.471238734300748]}"
42,17,16.47123873,80.68668956,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68668956499664,16.471238734300748]}"
43,16,16.47123873,80.68695906,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68695905958185,16.471238734300748]}"
